,Country,NOC
1,East Germany,East Germany
2,Russia,Soviet Union
3,United States,United States
4,Italy,Italy
5,Sweden,Sweden
6,Australia,Australia
7,Canada,Canada
8,West Germany,West Germany
9,Netherlands,Netherlands
10,United Kingdom,United Kingdom
11,Hungary,Hungary
12,Japan,Japan
13,Cuba,Cuba
14,Poland,Poland
15,Bulgaria,Bulgaria
16,New Zealand,New Zealand
17,Belgium,Belgium
18,Mexico,Mexico
19,Jamaica,Jamaica
20,Finland,Finland
21,Romania,Romania
22,Portugal,Portugal
23,France,France
24,Brazil,Brazil
25,Czechoslovakia,Czechoslovakia
26,Trinidad and Tobago,Trinidad and Tobago
27,Yugoslavia,Yugoslavia
28,Venezuela,Venezuela
29,Puerto Rico,Puerto Rico*
30,"Korea, North","Korea, North"
31,Bermuda,Bermuda*
32,Thailand,Thailand
33,Spain,Spain
34,Denmark,Denmark
35,Switzerland,Switzerland
36,Pakistan,Pakistan
37,"Korea, South","Korea, South"
38,Norway,Norway
39,Austria,Austria
40,Iran,Iran
41,Mongolia,Mongolia
42,Ethiopia,Ethiopia
43,Tanzania,Tanzania
44,Guyana,Guyana
45,Uganda,Uganda
46,Ireland,Ireland
47,India,India
48,Zimbabwe,Zimbabwe
49,Greece,Greece
50,Lebanon,Lebanon
51,China,China
52,Nigeria,Nigeria
53,Kenya,Kenya
54,Morocco,Morocco
55,Cote d'Ivoire,Cote d'Ivoire
56,Algeria,Algeria
57,Turkey,Turkey
58,Cameroon,Cameroon
59,Zambia,Zambia
60,Dominican Republic,Dominican Republic
61,Iceland,Iceland
62,Egypt,Egypt
63,Colombia,Colombia
64,Peru,Peru
65,Taiwan,Taiwan
66,Syria,Syria
67,Costa Rica,Costa Rica
68,Suriname,Suriname
69,Indonesia,Indonesia
70,Djibouti,Djibouti
71,Senegal,Senegal
72,Philippines,Philippines
73,Netherlands,Netherlands Antilles*
74,Virgin Islands,Virgin Islands*
75,Chile,Chile
76,Argentina,Argentina
77,Russia,Unified team
78,Germany,Germany
79,Bahamas,Bahamas
80,South Africa,South Africa
81,Namibia,Namibia
82,Qatar,Qatar
83,Lithuania,Lithuania
84,Malaysia,Malaysia
85,Croatia,Croatia
86,Latvia,Latvia
87,Estonia,Estonia
88,Ghana,Ghana
89,Israel,Israel
90,Slovenia,Slovenia
91,Independent Olympic Participants (1992),Independent Olympic Participants (1992)
92,Russia,Russia
93,Ukraine,Ukraine
94,Belarus,Belarus
95,Burundi,Burundi
96,Ecuador,Ecuador
97,Mozambique,Mozambique
98,Czech Republic,Czech Republic
99,Tunisia,Tunisia
100,Kazakhstan,Kazakhstan
101,Tonga,Tonga
102,Uzbekistan,Uzbekistan
