,Year,Sport,Discipline,Event,Athlete,Gender,Country,Event_gender,Medal
1,1976,Aquatics,Diving,3m springboard,"KÖHLER, Christa",Women,East Germany,W,Silver
2,1976,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",Men,Soviet Union,M,Bronze
3,1976,Aquatics,Diving,3m springboard,"BOGGS, Philip George",Men,United States,M,Gold
4,1976,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",Men,Italy,M,Silver
5,1976,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",Women,United States,W,Bronze
6,1976,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",Men,United States,M,Silver
7,1976,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",Women,Soviet Union,W,Gold
8,1976,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",Women,United States,W,Bronze
9,1976,Aquatics,Diving,10m platform,"DIBIASI, Klaus",Men,Italy,M,Gold
10,1976,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",Men,Soviet Union,M,Bronze
11,1976,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",Women,Sweden,W,Silver
12,1976,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",Women,United States,W,Gold
13,1976,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Women,United States,W,Gold
14,1976,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",Men,United States,M,Silver
15,1976,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",Women,East Germany,W,Silver
16,1976,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",Men,Australia,M,Bronze
17,1976,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",Men,Soviet Union,M,Bronze
18,1976,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",Women,East Germany,W,Gold
19,1976,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",Women,United States,W,Silver
20,1976,Aquatics,Swimming,800m freestyle,"THÜMER, Petra",Women,East Germany,W,Gold
21,1976,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",Women,Canada,W,Bronze
22,1976,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",Men,United States,M,Silver
23,1976,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",Men,United States,M,Gold
24,1976,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",Men,United States,M,Silver
25,1976,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",Men,Canada,M,Silver
26,1976,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",Men,United States,M,Bronze
27,1976,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",Men,United States,M,Gold
28,1976,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",Men,East Germany,M,Bronze
29,1976,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",Men,United States,M,Gold
30,1976,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",Men,United States,M,Silver
