No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
1,Michael Phelps,United States,Swimming,2004–2016,Summer,M,23,3,2,28
2,Larisa Latynina,Soviet Union,Gymnastics,1956–1964,Summer,F,9,5,4,18
3,Paavo Nurmi,Finland,Athletics,1920–1928,Summer,M,9,3,0,12
4,Mark Spitz,United States,Swimming,1968–1972,Summer,M,9,1,1,11
5,Carl Lewis,United States,Athletics,1984–1996,Summer,M,9,1,0,10
6,Marit Bjørgen,Norway,Cross-country skiing,2002–2018,Winter,F,8,4,3,15
7,Ole Einar Bjørndalen,Norway,Biathlon,1998–2014,Winter,M,8,4,1,13
8,Bjørn Dæhlie,Norway,Cross-country skiing,1992–1998,Winter,M,8,4,0,12
8,Birgit Fischer,Germany,Canoeing,1980–2004,Summer,F,8,4,0,12
10,Sawao Kato,Japan,Gymnastics,1968–1976,Summer,M,8,3,1,12
10,Jenny Thompson,United States,Swimming,1992–2004,Summer,F,8,3,1,12
12,Matt Biondi,United States,Swimming,1984–1992,Summer,M,8,2,1,11
13,Usain Bolt,Jamaica,Athletics,2008–2016,Summer,M,8,0,0,8
13,Ray Ewry,United States,Athletics,1900–1908,Summer,M,8,0,0,8
15,Nikolai Andrianov,Soviet Union,Gymnastics,1972–1980,Summer,M,7,5,3,15
16,Isabell Werth,Germany,Equestrian,1992–2020,Summer,F,7,5,0,12
17,Boris Shakhlin,Soviet Union,Gymnastics,1956–1964,Summer,M,7,4,2,13
18,Věra Čáslavská,Czechoslovakia,Gymnastics,1960–1968,Summer,F,7,4,0,11
19,Viktor Chukarin,Soviet Union,Gymnastics,1952–1956,Summer,M,7,3,1,11
19,Allyson Felix,United States,Athletics,2004–2020,Summer,F,7,3,1,11
21,Katie Ledecky,United States,Swimming,2012–2020,Summer,F,7,3,0,10
22,Jason Kenny,Great Britain,Cycling,2008–2020,Summer,M,7,2,0,9
23,Aladár Gerevich,Hungary,Fencing,1932–1960,Summer,M,7,1,2,10
24,Caeleb Dressel,United States,Swimming,2016–2020,Summer,M,7,0,0,7
24,Svetlana Romashina,Russia,Synchronized swimming,2008–2020,Summer,F,7,0,0,7
26,Edoardo Mangiarotti,Italy,Fencing,1936–1960,Summer,M,6,5,2,13
27,Ryan Lochte,United States,Swimming,2004–2016,Summer,M,6,3,3,12
28,Hubert Van Innis,Belgium,Archery,1900–1920,Summer,M,6,3,0,9
28,Lyubov Yegorova,Russia,Cross-country skiing,1992–1994,Winter,F,6,3,0,9
30,Akinori Nakayama,Japan,Gymnastics,1968–1972,Summer,M,6,2,2,10
31,Valentina Vezzali,Italy,Fencing,1996–2012,Summer,F,6,1,2,9
32,Gert Fredriksson,Sweden,Canoeing,1948–1960,Summer,M,6,1,1,8
32,Danuta Kozák,Hungary,Canoeing,2008–2020,Summer,F,6,1,1,8
34,Chris Hoy,Great Britain,Cycling,2000–2012,Summer,M,6,1,0,7
35,Vitaly Scherbo,Belarus,Gymnastics,1992–1996,Summer,M,6,0,4,10
36,Viktor Ahn,Russia,Short track speed skating,2006–2014,Winter,M,6,0,2,8
36,Reiner Klimke,Germany,Equestrian,1964–1988,Summer,M,6,0,2,8
38,Pál Kovács,Hungary,Fencing,1936–1960,Summer,M,6,0,1,7
39,Rudolf Kárpáti,Hungary,Fencing,1948–1960,Summer,M,6,0,0,6
39,Nedo Nadi,Italy,Fencing,1912–1920,Summer,M,6,0,0,6
39,Kristin Otto,East Germany,Swimming,1988,Summer,F,6,0,0,6
39,Lidia Skoblikova,Soviet Union,Speed skating,1960–1964,Winter,F,6,0,0,6
39,Amy Van Dyken,United States,Swimming,1996–2000,Summer,F,6,0,0,6
44,Ireen Wüst,Netherlands,Speed skating,2006–2018,Winter,F,5,5,1,11
45,Takashi Ono,Japan,Gymnastics,1952–1964,Summer,M,5,4,4,13
46,Carl Osburn,United States,Shooting,1912–1924,Summer,M,5,4,2,11
47,"Gary Hall, Jr.",United States,Swimming,1996–2004,Summer,M,5,3,2,10
47,Ágnes Keleti,Hungary,Gymnastics,1952–1956,Summer,F,5,3,2,10
49,Nadia Comăneci,Romania,Gymnastics,1976–1980,Summer,F,5,3,1,9
49,Ian Thorpe,Australia,Swimming,2000–2004,Summer,M,5,3,1,9
51,Ville Ritola,Finland,Athletics,1924–1928,Summer,M,5,3,0,8
52,Emma McKeon,Australia,Swimming,2016–2020,Summer,F,5,2,4,11
53,Polina Astakhova,Soviet Union,Gymnastics,1956–1964,Summer,F,5,2,3,10
54,Claudia Pechstein,Germany,Speed skating,1992–2006,Winter,F,5,2,2,9
55,Elisabeta Lipă,Romania,Rowing,1984–2004,Summer,F,5,2,1,8
56,Yukio Endo,Japan,Gymnastics,1960–1968,Summer,M,5,2,0,7
56,Martin Fourcade,France,Biathlon,2014–2018,Winter,M,5,2,0,7
56,Aaron Peirsol,United States,Swimming,2000–2008,Summer,M,5,2,0,7
59,Mitsuo Tsukahara,Japan,Gymnastics,1968–1976,Summer,M,5,1,3,9
60,Nathan Adrian,United States,Swimming,2008–2016,Summer,M,5,1,2,8
60,Bradley Wiggins,Great Britain,Cycling,2000–2016,Summer,M,5,1,2,8
62,Krisztina Egerszegi,Hungary,Swimming,1988–1996,Summer,F,5,1,1,7
62,Tom Jager,United States,Swimming,1984–1992,Summer,M,5,1,1,7
62,Larisa Lazutina,Russia,Cross-country skiing,1992–1998,Winter,F,5,1,1,7
62,Willis A. Lee,United States,Shooting,1920,Summer,M,5,1,1,7
62,Clas Thunberg,Finland,Speed skating,1924–1928,Winter,M,5,1,1,7
62,Dana Vollmer,United States,Swimming,2004–2016,Summer,F,5,1,1,7
62,Hans Günter Winkler,Germany,Equestrian,1956–1976,Summer,M,5,1,1,7
62,Wu Minxia,China,Diving,2004–2016,Summer,F,5,1,1,7
70,Thomas Alsgaard,Norway,Cross-country skiing,1994–2002,Winter,M,5,1,0,6
70,Anton Heida,United States,Gymnastics,1904,Summer,M,5,1,0,6
70,Laura Kenny,Great Britain,Cycling,2012–2020,Summer,F,5,1,0,6
70,Nellie Kim,Soviet Union,Gymnastics,1976–1980,Summer,F,5,1,0,6
70,Ole Lilloe-Olsen,Norway,Shooting,1920–1924,Summer,M,5,1,0,6
70,Don Schollander,United States,Swimming,1964–1968,Summer,M,5,1,0,6
70,Elaine Thompson-Herah,Jamaica,Athletics,2016–2020,Summer,F,5,1,0,6
77,Bonnie Blair,United States,Speed skating,1988–1994,Winter,F,5,0,1,6
77,Lisa Carrington,New Zealand,Canoeing,2012–2020,Summer,F,5,0,1,6
77,Georgeta Damian,Romania,Rowing,2000–2008,Summer,F,5,0,1,6
77,Missy Franklin,United States,Swimming,2012–2016,Summer,F,5,0,1,6
77,Alfred Lane,United States,Shooting,1912–1920,Summer,M,5,0,1,6
77,Steve Redgrave,Great Britain,Rowing,1984–2000,Summer,M,5,0,1,6
77,Johnny Weissmuller,United States,Swimming,1924–1928,Summer,M,5,0,1,6
77,Zou Kai,China,Gymnastics,2008–2012,Summer,M,5,0,1,6
85,Sue Bird,United States,Basketball,2004–2020,Summer,F,5,0,0,5
85,Chen Ruolin,China,Diving,2008–2016,Summer,F,5,0,0,5
85,Anastasia Davydova,Russia,Synchronized swimming,2004–2012,Summer,F,5,0,0,5
85,Morris Fisher,United States,Shooting,1920–1924,Summer,M,5,0,0,5
85,Eric Heiden,United States,Speed skating,1980,Winter,M,5,0,0,5
85,Natalia Ishchenko,Russia,Synchronized swimming,2008–2016,Summer,F,5,0,0,5
85,Ma Long,China,Table Tennis,2012–2020,Summer,M,5,0,0,5
85,Diana Taurasi,United States,Basketball,2004–2020,Summer,F,5,0,0,5
93,Raisa Smetanina,Soviet UnionUnified Team,Cross-country skiing,1976–1992,Winter,F,4,5,1,10
94,Alexander Popov,Unified TeamRussia,Swimming,1992–2000,Summer,M,4,5,0,9
95,Dara Torres,United States,Swimming,1984–2008,Summer,F,4,4,4,12
96,Kornelia Ender,East Germany,Swimming,1972–1976,Summer,F,4,4,0,8
96,Dawn Fraser,Australia,Swimming,1956–1964,Summer,F,4,4,0,8
98,Allison Schmitt,United States,Swimming,2008–2020,Summer,F,4,3,3,10
99,Sixten Jernberg,Sweden,Cross-country skiing,1956–1964,Winter,M,4,3,2,9
99,Ludmilla Tourischeva,Soviet Union,Gymnastics,1968–1976,Summer,F,4,3,2,9
101,Ricco Groß,Germany,Biathlon,1992–2006,Winter,M,4,3,1,8
101,Georges Miez,Switzerland,Gymnastics,1924–1936,Summer,M,4,3,1,8
101,Otto Olsen,Norway,Shooting,1920–1924,Summer,M,4,3,1,8
101,Emil Hegle Svendsen,Norway,Biathlon,2010–2018,Winter,M,4,3,1,8
105,Ivan Patzaichin,Romania,Canoeing,1968–1984,Summer,M,4,3,0,7
106,Alexei Nemov,Russia,Gymnastics,1996–2000,Summer,M,4,2,6,12
107,Sven Kramer,Netherlands,Speed skating,2006–2018,Winter,M,4,2,3,9
108,Kjetil André Aamodt,Norway,Alpine skiing,1992–2006,Winter,M,4,2,2,8
108,Inge de Bruijn,Netherlands,Swimming,2000–2004,Summer,F,4,2,2,8
108,Sven Fischer,Germany,Biathlon,1994–2006,Winter,M,4,2,2,8
108,Galina Kulakova,Soviet Union,Cross-country skiing,1972–1980,Winter,F,4,2,2,8
108,Jason Lezak,United States,Swimming,2000–2012,Summer,M,4,2,2,8
108,Roland Matthes,East Germany,Swimming,1968–1976,Summer,M,4,2,2,8
114,Ivar Ballangrud,Norway,Speed skating,1928–1936,Winter,M,4,2,1,7
114,Einar Liberg,Norway,Shooting,1908–1924,Summer,M,4,2,1,7
116,Giuseppe Delfino,Italy,Fencing,1952–1964,Summer,M,4,2,0,6
116,Christian d'Oriola,France,Fencing,1948–1956,Summer,M,4,2,0,6
